Industry Name,Number of Firms,Dividends in $ millions,Buybacks in $ millions,Equity Issuance in $ millions,Net Equity Change  in $ millions,Net Equity Change as % of Book Equity,Debt Repaid  in $ millions,Debt Raised in $ millions,Net Debt Change in $ millions,Net Change in Debt as % of Total Debt,Change in Lease Debt  in $ millions,Number of firms_x,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales,Number of firms_y,Acc Rec/ Sales,Inventory/Sales,Acc Pay/ Sales,Non-cash WC/ Sales
Recreation,55,1113.226,2588.898,275.35,-2313.548,-0.106295494,11147.416,11874.155,726.739,0.02195984,1879.035,55,0.37,0.01,0.11,0.1,0.09,0.08,0.07,0.08,0.07,0.15,0.37,0.18,0.63,0.03,0.22,0.02,0.03,55,0.103202605,0.160151637,0.072181183,0.18037794
Reinsurance,1,216.0,196.0,0.0,-196.0,-0.053654531,652.0,900.0,248.0,0.055730337,0.0,1,0.16,0.06,0.1,0.1,0.07,0.1,0.07,0.1,0.07,0.06,0.06,0.06,0.84,0.0,0.0,0.0,0.0,1,0.182694451,0.0,0.189659015,0.170938266
Restaurant/Dining,64,9274.738,7833.537,1804.681,-6028.856,0.689445638,12340.973,15305.39,2964.417,0.030738969,4183.058,64,0.32,0.11,0.17,0.16,0.14,0.13,0.12,0.14,0.12,0.18,0.29,0.19,0.68,0.01,0.11,0.01,0.05,64,0.050377754,0.02186804,0.043958052,0.008604289
Retail (Automotive),30,659.238,12229.046,1016.923,-11212.123,-0.466400753,69846.676,77560.116,7713.44,0.091656646,2274.71,30,0.22,0.04,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.07,0.22,0.07,0.78,0.0,0.15,0.0,0.01,30,0.029356827,0.150846594,0.087313944,0.099833698
Retail (Building Supply),16,11038.8,18403.947,553.293,-17850.654,2.343928201,4576.156,5598.801,1022.645,0.011962243,2801.9,16,0.34,0.08,0.13,0.13,0.11,0.12,0.11,0.12,0.11,0.16,0.36,0.16,0.66,0.0,0.2,0.01,0.01,16,0.015731706,0.161291605,0.087925894,0.084696828
Retail (Distributors),62,3698.29,4072.358,310.009,-3762.349,-0.065302202,44074.783,48837.116,4762.333,0.05995272,2322.298,62,0.32,0.08,0.12,0.12,0.1,0.12,0.1,0.12,0.1,0.13,0.32,0.13,0.68,0.0,0.19,0.0,0.01,62,0.128811081,0.158028348,0.101803832,0.174155047
Retail (General),26,11823.225,8164.626,502.485,-7662.141,-0.027549775,62177.435,55884.28,-6293.155,-0.029093767,18663.721,26,0.31,0.03,0.06,0.04,0.04,0.04,0.03,0.05,0.04,0.07,0.28,0.12,0.69,0.05,0.21,0.02,0.01,26,0.027459595,0.094600111,0.109075053,0.007687614
Retail (Grocery and Food),14,1171.071,983.315,478.27,-505.045,-0.023532051,3656.85,3066.874,-589.976,-0.024472005,344.59,14,0.26,0.01,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.26,0.06,0.74,0.01,0.2,0.01,0.01,14,0.014268243,0.055792899,0.051629671,-0.00243239
Retail (REITs),28,8577.606,257.329,7930.84,7673.511,0.090784566,53968.87,58571.0,4602.13,0.043941505,72.43,28,0.78,0.23,0.38,0.37,0.36,0.35,0.34,0.35,0.34,0.66,0.73,0.66,0.22,0.0,0.07,0.01,0.01,28,0.162504019,0.003921519,0.183341371,-0.098708987
Retail (Special Lines),105,6069.07,8685.231,817.768,-7867.463,-0.108816917,24064.324,21516.892,-2547.432,-0.053845056,3752.0,105,0.3,0.01,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.07,0.31,0.07,0.7,0.0,0.25,0.01,0.05,105,0.023615906,0.135577655,0.09734636,0.050599262
Rubber& Tires,3,0.0,0.0,0.0,0.0,0.0,10784.001,10655.2,-128.801,-0.014861014,70.21,3,0.17,-0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.24,0.12,0.83,0.02,0.15,0.0,0.02,3,0.16349297,0.194979515,0.201901251,0.106942122
Semiconductor,63,23975.2,30880.027,3495.239,-27384.788,-0.07040517,39564.868,55955.839,16390.971,0.092337064,695.688,63,0.52,0.16,0.25,0.2,0.19,0.2,0.19,0.21,0.2,0.32,0.41,0.53,0.48,0.21,0.09,0.06,0.01,63,0.129090942,0.189831769,0.084911528,0.224030229
Semiconductor Equip,30,2940.65,8034.527,646.897,-7387.63,-0.166002332,3626.263,2133.848,-1492.415,-0.048654919,170.324,30,0.44,0.18,0.26,0.24,0.21,0.24,0.21,0.25,0.22,0.3,0.39,0.41,0.56,0.1,0.09,0.02,0.01,30,0.188020426,0.231891386,0.058322191,0.345628083
Shipbuilding & Marine,8,169.7,510.948,3.43,-507.518,-0.068588435,633.174,585.036,-48.138,-0.01990497,687.02,8,0.25,0.08,0.11,0.11,0.1,0.12,0.11,0.12,0.11,0.33,0.42,0.33,0.75,0.0,0.09,0.01,0.04,8,0.122916096,0.07854319,0.079525986,0.112998655
Shoe,13,2218.791,814.173,17.56,-796.613,-0.034636251,2288.0,1109.5,-1178.5,-0.094006254,825.71,13,0.45,0.09,0.14,0.12,0.11,0.12,0.11,0.12,0.11,0.13,0.46,0.13,0.55,0.0,0.33,0.01,0.02,13,0.101938421,0.159238261,0.063894223,0.196144457
Software (Entertainment),84,235.41,90230.608,492.176,-89738.432,-0.222196534,19934.036,26704.583,6770.547,0.124705605,6193.528,84,0.63,0.2,0.35,0.27,0.25,0.27,0.25,0.28,0.27,0.29,0.47,0.48,0.37,0.19,0.18,0.09,0.01,84,0.128219691,0.006417224,0.027084674,0.047763248
Software (Internet),35,0.256,5130.626,532.76,-4597.866,-0.161897471,5242.007,5173.335,-68.672,-0.002908775,1487.41,35,0.59,-0.14,0.12,-0.03,-0.03,-0.03,-0.03,-0.01,-0.01,0.01,0.42,0.22,0.41,0.21,0.4,0.16,0.03,35,0.12288851,1.63673e-05,0.042372282,0.096695754
Software (System & Application),351,26468.845,51669.898,11749.602,-39920.296,-0.100343702,35002.797,51147.364,16144.567,0.0548813,3688.946,351,0.72,0.19,0.34,0.25,0.24,0.25,0.24,0.26,0.25,0.29,0.57,0.46,0.28,0.17,0.28,0.09,0.01,351,0.162256425,0.010092106,0.060590608,0.112044527
Steel,29,1786.074,5389.966,91.786,-5298.18,-0.082107955,11871.998,10170.9,-1701.098,-0.067101308,1198.324,29,0.19,0.09,0.12,0.12,0.1,0.12,0.1,0.12,0.1,0.23,0.29,0.23,0.81,0.0,0.06,0.0,0.0,29,0.104778932,0.156573369,0.072445503,0.1902387
Telecom (Wireless),13,859.325,13665.25,0.358,-13664.892,-0.171067107,9794.48,10286.731,492.251,0.005501078,5121.293,13,0.61,0.09,0.18,0.17,0.15,0.15,0.14,0.15,0.14,0.33,0.61,0.33,0.39,0.0,0.28,0.01,0.08,13,0.129748771,0.024094581,0.06348059,0.062680579
Telecom. Equipment,66,7386.13,8288.054,1380.42,-6907.634,-0.105811157,4510.117,4751.235,241.118,0.0058341,934.139,66,0.56,0.14,0.23,0.2,0.18,0.2,0.19,0.21,0.19,0.23,0.44,0.36,0.44,0.13,0.21,0.04,0.01,66,0.170813237,0.120407007,0.062273439,0.230923807
Telecom. Services,42,19163.33,682.048,201.677,-480.371,-0.002048434,38484.861,30558.152,-7926.709,-0.023700062,722.177,42,0.58,0.0,0.21,0.21,0.19,0.21,0.2,0.21,0.2,0.36,0.59,0.37,0.42,0.01,0.23,0.01,0.04,42,0.137139764,0.018708222,0.201683507,-0.032235362
Tobacco,16,14856.91,1120.829,60.484,-1060.345,0.085456471,16459.779,32544.21,16084.431,0.209503908,-57.11,16,0.61,0.28,0.41,0.41,0.37,0.41,0.37,0.41,0.37,0.44,0.64,0.45,0.39,0.01,0.2,0.0,0.01,16,0.075761065,0.218661951,0.070627537,0.153001811
Transportation,36,7039.4,9375.245,941.741,-8433.504,-0.137173906,33795.41,40899.767,7104.357,0.073051791,7262.371,110,0.31,0.06,0.1,0.09,0.08,0.09,0.08,0.09,0.08,0.13,0.25,0.15,0.69,0.01,0.12,0.01,0.04,36,0.113418758,0.002707055,0.054295412,0.064488264
Transportation (Railroads),4,5268.3,6745.0,0.0,-6745.0,-0.176503221,3658.1,4800.8,1142.7,0.016339575,750.8,4,0.5,0.24,0.36,0.35,0.29,0.35,0.29,0.35,0.29,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.02,4,0.08315688,0.029144829,0.073059245,0.022557472
Trucking,22,842.96,1596.341,27.722,-1568.619,-0.041920388,11254.5,11776.75,522.25,0.021015116,2057.0,22,0.22,0.05,0.09,0.08,0.07,0.09,0.07,0.09,0.07,0.18,0.25,0.18,0.78,0.0,0.07,0.01,0.01,22,0.120963997,0.004198328,0.061144525,0.067480207
Utility (General),14,9662.2,1063.6,2610.0,1546.4,0.010511205,28823.1,46181.6,17358.5,0.075729185,300.0,14,0.41,0.14,0.22,0.22,0.19,0.22,0.19,0.22,0.19,0.32,0.31,0.32,0.59,0.0,-0.01,0.0,0.0,14,0.12519183,0.074102432,0.090687921,0.133701516
Utility (Water),13,1038.29,7.782,2464.16,2456.378,0.14356472,3062.324,3998.941,936.617,0.039543147,-0.492,13,0.56,0.19,0.31,0.31,0.27,0.31,0.27,0.31,0.27,0.43,0.47,0.43,0.45,0.0,0.03,0.01,0.0,13,0.151933228,0.032629158,0.083545391,0.11350574
